,stop_id,stop_name,images
53,8500303,Mumpf,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Mumpf.jpg
54,8500304,Eiken,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Eiken.jpg
55,8500305,Frick,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Frick.jpg
56,8500309,Brugg AG,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Brugg_AG.jpg
57,8500313,Rheinfelden Augarten,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Rheinfelden_Augarten.jpg
58,8500320,Stein-Säckingen,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
59,8500329,Koblenz,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Koblenz.jpg
60,8501000,Zimeysa,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
61,8501001,La Plaine,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
62,8501002,Russin,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
63,8501003,Satigny,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
64,8501006,Meyrin,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
65,8501007,Vernier,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
66,8501008,Genève,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
67,8501012,Creux-de-Genthod,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
68,8501014,Mies,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
69,8501020,Chambésy,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
70,8501022,Versoix,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
71,8501023,Coppet,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Coppet.jpg
72,8501026,Genève-Aéroport,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
73,8501030,Nyon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Nyon.jpg
74,8501031,Gland,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Gland.jpg
75,8501033,Rolle,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Rolle.jpg
76,8501035,Allaman,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Allaman.jpg
77,8501036,St-Prex,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/St-Prex.jpg
78,8501037,Morges,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Morges.jpg
79,8501042,Etoy,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Etoy.jpg
80,8501045,Denges-Echandens,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Denges-Echandens.jpg
81,8501047,Morges-St-Jean,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Morges-St-Jean.jpg
82,8501048,Lonay-Préverenges,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
83,8501103,Vallorbe,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Vallorbe.jpg
84,8501104,Le Day,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Le_Day.jpg
85,8501105,Bretonnières,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
86,8501106,Croy-Romainmôtier,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
87,8501107,Arnex,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Arnex.jpg
88,8501108,La Sarraz,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/La_Sarraz.jpg
89,8501110,Ependes,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Ependes.jpg
90,8501111,Essert-Pittet,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Essert-Pittet.jpg
91,8501112,Chavornay,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Chavornay.jpg
