,stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
0,8014474,Waldshut,47.621370802425204,8.2195219687679,1.0,
1,8014558,Singen (Hohentwiel),47.7584367925026,8.84038359432069,1.0,
2,8014586,Konstanz,47.658752408956396,9.177305724829461,1.0,
3,8500010,Basel SBB,47.547406548145396,7.58955142623287,1.0,
4,8500016,Basel St. Johann,47.5702971276522,7.57251038529075,1.0,
5,8500020,Muttenz,47.5335800633286,7.64787903763887,1.0,
6,8500021,Pratteln,47.5226557753483,7.690800541920071,1.0,
7,8500022,Frenkendorf-Füllinsdorf,47.5014558036563,7.7190884902209405,1.0,
8,8500023,Liestal,47.484454449813,7.73135049385087,1.0,
9,8500024,Lausen,47.4701984492328,7.759818105208581,1.0,
10,8500025,Itingen,47.46726541067229,7.7872077382252005,1.0,
11,8500026,Sissach,47.462747117987604,7.81201920637604,1.0,
12,8500027,Gelterkinden,47.465880813862896,7.847655373702019,1.0,
13,8500028,Tecknau,47.445757535104,7.88760345439237,1.0,
14,8500035,Läufelfingen,47.392122674629604,7.85621631836087,1.0,
15,8500105,Moutier,47.280666976668904,7.3810344824540195,1.0,
16,8500109,Delémont,47.3619990299145,7.35005158830042,1.0,
17,8500113,Laufen,47.419335943811205,7.50263043932936,1.0,
18,8500114,Zwingen,47.43379411107221,7.5304602468352595,1.0,
19,8500115,Grellingen,47.44129207541489,7.59198586065317,1.0,
20,8500117,Aesch,47.4677390801552,7.603053104955059,1.0,
21,8500118,Dornach-Arlesheim,47.4886066628627,7.6111020099019004,1.0,
22,8500119,Münchenstein,47.5133856336249,7.61758784625414,1.0,
23,8500121,Courfaivre,47.3350727206901,7.29115803826535,1.0,
24,8500122,Bassecourt,47.3366799202069,7.24684414529357,1.0,
25,8500123,Glovelier,47.335200567897104,7.20929456641214,1.0,
26,8500125,Courgenay,47.405220359327096,7.12418817638281,1.0,
27,8500126,Porrentruy,47.420910186609994,7.080071912773559,1.0,
28,8500127,Courtemaîche,47.4558656923596,7.05536824245684,1.0,
29,8500128,Boncourt,47.492618942854605,7.016543055871789,1.0,
30,8500136,Basel Dreispitz,47.537861811964206,7.608937070066871,1.0,
31,8500200,Pieterlen,47.1714370874741,7.34018808647942,1.0,
32,8500201,Lengnau,47.179424194480895,7.36654465691915,1.0,
33,8500202,Grenchen Süd,47.188765386917495,7.3981743380774105,1.0,
34,8500203,Bettlach,47.194943102548294,7.42835773162802,1.0,
35,8500204,Selzach,47.2006196182265,7.456627713623201,1.0,
36,8500205,Bellach,47.208901358567196,7.507858634283671,1.0,
37,8500206,Solothurn West,47.2067105154583,7.53194246705426,1.0,
38,8500207,Solothurn,47.204183915514,7.54268631785383,1.0,
39,8500208,Luterbach-Attisholz,47.217145196683596,7.58351474752275,1.0,
40,8500209,Deitingen,47.2182190590417,7.61889938656914,1.0,
41,8500210,Wangen an der Aare,47.23195159670421,7.656224386629501,1.0,
42,8500211,Niederbipp,47.2703971869814,7.6948070280878,1.0,
43,8500212,Oensingen,47.2850241782959,7.709853809098901,1.0,
44,8500213,Oberbuchsiten,47.3052454261773,7.77171179957198,1.0,
45,8500214,Egerkingen,47.314856793346,7.798948718990281,1.0,
46,8500215,Hägendorf,47.3302630056806,7.84381058428545,1.0,
47,8500216,Wangen bei Olten,47.3413977422668,7.86834357469817,1.0,
48,8500217,Olten Hammer,47.34854976519,7.897709501340129,1.0,
49,8500218,Olten,47.3519276177994,7.90768978414808,1.0,
50,8500300,Kaiseraugst,47.538492521594705,7.724119055812711,1.0,
51,8500301,Rheinfelden,47.5512081922171,7.792157455441389,1.0,
52,8500302,Möhlin,47.5618476915714,7.83385725093602,1.0,
53,8500303,Mumpf,47.547618768398706,7.909612178856371,1.0,
54,8500304,Eiken,47.5330342062232,7.989777834822349,1.0,
55,8500305,Frick,47.507342172577495,8.013071150142808,1.0,
56,8500309,Brugg AG,47.4808543854376,8.20882303373255,1.0,
57,8500313,Rheinfelden Augarten,47.5458664097056,7.768019723753741,1.0,
58,8500320,Stein-Säckingen,47.5415974430058,7.94882364101364,1.0,
59,8500329,Koblenz,47.6003379515845,8.22702290139134,1.0,
60,8501000,Zimeysa,46.221263339204796,6.065739209568809,1.0,
61,8501001,La Plaine,46.1786601261429,5.99999151391495,1.0,
62,8501002,Russin,46.1877717331166,6.017553577721929,1.0,
63,8501003,Satigny,46.2142210418871,6.037505160185,1.0,
64,8501006,Meyrin,46.2223323468608,6.076914251704809,1.0,
65,8501007,Vernier,46.220710181722794,6.0938924105770305,1.0,
66,8501008,Genève,46.210205347158606,6.14245533484329,1.0,
67,8501012,Creux-de-Genthod,46.2637589946516,6.161319955812429,1.0,
68,8501014,Mies,46.2998792475165,6.1695664901218,1.0,
69,8501020,Chambésy,46.242378599339396,6.14734216998959,1.0,
70,8501022,Versoix,46.27971742243321,6.16574865016376,1.0,
71,8501023,Coppet,46.317378261396705,6.18782923985049,1.0,
72,8501026,Genève-Aéroport,46.2325303791105,6.11198448040172,1.0,
73,8501030,Nyon,46.384405991255704,6.23596995593315,1.0,
74,8501031,Gland,46.4199760084709,6.26913575622746,1.0,
75,8501033,Rolle,46.4627383246109,6.33641058786454,1.0,
76,8501035,Allaman,46.4757374048042,6.39970588279241,1.0,
77,8501036,St-Prex,46.482306915257205,6.45590448697475,1.0,
78,8501037,Morges,46.511093292976796,6.493966105568191,1.0,
79,8501042,Etoy,46.4751620709198,6.427140431573241,1.0,
80,8501045,Denges-Echandens,46.5291179851255,6.540507820444911,1.0,
